Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm	  	attribute	
GLOBAL:Version	0.5	rm	 	attribute	
GLOBAL:SOFAConventions	GeneralTF	rm	  	attribute	This conventions stores TFs for general purposes, i.e., only the mandatory, SOFA general metadata are pre-defined. This convention is based on GeneralFIR.
GLOBAL:SOFAConventionsVersion	0.1	rm	  	attribute	
GLOBAL:APIName		rm	  	attribute	
GLOBAL:APIVersion		rm	  	attribute	
GLOBAL:ApplicationName		m	  	attribute	
GLOBAL:ApplicationVersion		m	  	attribute	
GLOBAL:AuthorContact		m	  	attribute	
GLOBAL:Comment		m	 	attribute	
GLOBAL:DataType	FIR	rm	  	attribute	We store frequency-dependent data here
GLOBAL:History		m	 	attribute	
GLOBAL:License	No license provided, ask the author for permission	m	  	attribute	
GLOBAL:Organization		m	  	attribute	
GLOBAL:References		m		attribute	
GLOBAL:RoomType	free field	m	  	attribute	The room information can be arbitrary
GLOBAL:Source		m		attribute	
GLOBAL:TimeCreated		m	 	attribute	
GLOBAL:TimeModified		m	 	attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0] 	m	IC, MC	double	
ListenerPosition:Type	cartesian	m	  	attribute	
ListenerPosition:Units	meter	m	  	attribute	
ReceiverPosition	[0 -0.09 0; 0 0.09 0]	m	rCI, rCM	double	
ReceiverPosition:Type	cartesian	m	  	attribute	
ReceiverPosition:Units	meter	m	  	attribute	
SourcePosition	[0 0 1]	m	IC, MC	double	In order to store different directions/positions around the listener, SourcePosition is assumed to vary
SourcePosition:Type	spherical	m	  	attribute	
SourcePosition:Units	degree, degree, meter	m	  	attribute	
EmitterPosition	[0 0 0]	m	eCI, eCM	double	
EmitterPosition:Type	cartesian	m	  	attribute	
EmitterPosition:Units	meter	m	  	attribute	
Data.Real	[1 1]	m	mRn	double	
Data.Imag	[0 0]	m	MRN	double	
N	0	m	N	double	
N_LongName	frequency			attribute	
N_Units	hertz			attribute	
