Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm	  	attribute	
GLOBAL:Version	0.6	rm	 	attribute	
GLOBAL:SOFAConventions	HeadphoneIR	rm	  	attribute	Conventions for IRs with a 1-to-1 correspondence between emitter and receiver. The main application for this convention is to store headphone IRs recorded for each emitter and each ear.
GLOBAL:SOFAConventionsVersion	0.1	rm	  	attribute	
GLOBAL:APIName		rm	  	attribute	
GLOBAL:APIVersion		rm	  	attribute	
GLOBAL:ApplicationName			  	attribute	
GLOBAL:ApplicationVersion			  	attribute	
GLOBAL:AuthorContact		m	  	attribute	
GLOBAL:Comment		m	 	attribute	
GLOBAL:DataType	FIR	rm	  	attribute	We will store IRs here
GLOBAL:History			 	attribute	
GLOBAL:License	No license provided, ask the author for permission	m	  	attribute	
GLOBAL:Organization		m	  	attribute	
GLOBAL:References				attribute	
GLOBAL:RoomType	free field	m	  	attribute	Room type is not relevant here
GLOBAL:Origin				attribute	
GLOBAL:DateCreated		m	 	attribute	
GLOBAL:DateModified		m	 	attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0] 	m	IC, MC	double	
ListenerPosition:Type	cartesian	m	  	attribute	
ListenerPosition:Units	meter	m	  	attribute	
ReceiverPosition	[0 -0.09 0; 0 0.09 0]	m	rCI, rCM	double	
ReceiverPosition:Type	cartesian	m	  	attribute	
ReceiverPosition:Units	meter	m	  	attribute	
SourcePosition	[0 0 0]	m	IC, MC	double	Headphones are located at the position of the listener
SourcePosition:Type	spherical	m	  	attribute	
SourcePosition:Units	degree, degree, meter	m	  	attribute	
EmitterPosition	[0 -0.09 0; 0 0.09 0]	m	eCI, eCM	double	Reflects the correspondence of each emitter to each receiver
EmitterPosition:Type	cartesian	m	  	attribute	
EmitterPosition:Units	meter	m	  	attribute	
GLOBAL:DatabaseName		m	  	attribute	to which HRTF database these data correspond?
GLOBAL:SubjectID		m	  	attribute	to which subject from the database these data correspond?
GLOBAL:SourceProducer				attribute	who produced the headphones?
GLOBAL:SourceModel				attribute	how is this headphone called?
GLOBAL:ProcessingState				attribute	how are the IRs processed (raw, equalized, etc)?
GLOBAL:ListenerDescription				attribute	describe the listener here (human, dummy head, etc)
GLOBAL:SourceDescription				attribute	describe the headphones here
GLOBAL:ReceiverDescription				attribute	describe the microphones here
GLOBAL:EmitterDescription				attribute	describe the drivers of the headphones here
Data.IR	[1 1]	m	mRn	double	
Data.SamplingRate	48000	m	I	double	
Data.SamplingRate:Units	hertz	m		attribute	
Data.Delay	[0 0]	m	IR, MR	double	
