Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm		attribute	
GLOBAL:Version	2.1	rm	 	attribute	
GLOBAL:SOFAConventions	AnnotatedAudio	rm	  	attribute	This conventions is for recorded audio samples.
GLOBAL:SOFAConventionsVersion	1.0	rm		attribute	
GLOBAL:APIName		rm		attribute	
GLOBAL:APIVersion		rm		attribute	
GLOBAL:ApplicationName				attribute	
GLOBAL:ApplicationVersion				attribute	
GLOBAL:AuthorContact		m		attribute	
GLOBAL:Comment				attribute	
GLOBAL:DataType	FIR	rm		attribute	
GLOBAL:History				attribute	
GLOBAL:License	No license provided, ask the author for permission	m		attribute	
GLOBAL:Organization		m		attribute	
GLOBAL:References				attribute	
GLOBAL:RoomType	free field	m		attribute	
GLOBAL:Origin				attribute	
GLOBAL:DateCreated		m		attribute	
GLOBAL:DateModified		m		attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0]	m	IC, MC	double	Position of the head. IC if not tracked, MC if tracked.
ListenerPosition:Type	cartesian	m		attribute	
ListenerPosition:Units	metre	m		attribute	
ReceiverPosition	[0 0.09 0; 0 -0.09 0]	m	IC, RC, RCM	double	Position of the ears. RC if not tracked, RCM if tracked.
ReceiverPosition:Type	cartesian	m		attribute	
ReceiverPosition:Units	metre	m		attribute	
SourcePosition	[0 0 0]	m	IC, MC	double	Position of the virtual ensemble. IC if not tracked, MC if tracked.
SourcePosition:Type	cartesian	m		attribute	
SourcePosition:Units	metre	m		attribute	
EmitterPosition	[0 0 0]	m	eC, eCM	double	Position of the virtual source(s). eC if not tracked, eCM if tracked.
EmitterPosition:Type	cartesian	m		attribute	
EmitterPosition:Units	metre	m		attribute	
ListenerUp	[0 0 1]	m	IC, MC	double	Must be of the same dimensionality as ListenerView.
ListenerView	[1 0 0]	m	IC, MC	double	Orientation of the head. IC if not tracked, MC if tracked.
ListenerView:Type	cartesian	m		attribute	
ListenerView:Units	metre	m		attribute	
EmitterUp	[0 0 0]		EC, ECM	double	Must be of the same dimensionality as EmitterView.
EmitterView	[0 0 0]		EC, ECM	double	Orientation of the virtual source(s). EC if not tracked, ECM if tracked.
EmitterView:Type	cartesian			attribute	
EmitterView:Units	metre			attribute	
Data.Sample	[0 0]	m	mrn	double	m= number of tracking points. n= number of audio samples.
Data.SamplingRate	44100	m	I	double	
Data.SamplingRate:Units	hertz	m		attribute	
M	1	m	M	double	Index variable relating measurements in M with the audio samples described along N.
M:LongName	Index variable	m		attribute	
M:Units	N	m		attribute	
