Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm	  	attribute	
GLOBAL:Version	2.1	rm	 	attribute	
GLOBAL:SOFAConventions	GeneralTF-E	rm	  	attribute	This conventions stores TFs depending in the Emiiter for general purposes, i.e., only the SOFA general metadata are predefined. This convention is based on GeneralTF.
GLOBAL:SOFAConventionsVersion	1.0	rm	  	attribute	
GLOBAL:APIName		rm	  	attribute	
GLOBAL:APIVersion		rm	  	attribute	
GLOBAL:ApplicationName			  	attribute	
GLOBAL:ApplicationVersion			  	attribute	
GLOBAL:AuthorContact		m	  	attribute	
GLOBAL:Comment			 	attribute	
GLOBAL:DataType	TF-E	rm	  	attribute	We store frequency-dependent data depending on the Emitter here.
GLOBAL:History			 	attribute	
GLOBAL:License	No license provided, ask the author for permission	m	  	attribute	
GLOBAL:Organization		m	  	attribute	
GLOBAL:References				attribute	
GLOBAL:RoomType	free field	m	  	attribute	It can be free field, reverberant, shoebox or dae.
GLOBAL:Origin				attribute	
GLOBAL:DateCreated		m	 	attribute	
GLOBAL:DateModified		m	 	attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0] 	m	IC, MC	double	
ListenerPosition:Type	cartesian	m	  	attribute	
ListenerPosition:Units	metre	m	  	attribute	
ReceiverPosition	[0 0 0]	m	ICI, RCI, RCM	double	
ReceiverPosition:Type	cartesian	m	  	attribute	
ReceiverPosition:Units	metre	m	  	attribute	
SourcePosition	[0 0 0]	m	IC, MC	double	
SourcePosition:Type	cartesian	m	  	attribute	
SourcePosition:Units	metre	m	  	attribute	
EmitterPosition	[0 0 0]	m	ICI, ECI, ECM	double	
EmitterPosition:Type	cartesian	m	  	attribute	
EmitterPosition:Units	metre	m	  	attribute	
Data.Real	0	m	mrne	double	The real part of the complex spectrum.
Data.Imag	0	m	MRNE	double	The imaginary part of the complex spectrum.
N	0	m	N	double	Frequency values.
N:LongName	frequency	m		attribute	Narrative name of N.
N:Units	hertz	m		attribute	Unit of the values given in N.
