Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm	  	attribute	
GLOBAL:Version	2.1	rm	 	attribute	
GLOBAL:SOFAConventions	SimpleFreeFieldHRIR	rm	  	attribute	This convention set is for impulse responses recorded under free-field conditions or conditions with irrelevant room information.
GLOBAL:SOFAConventionsVersion	1.2	rm	  	attribute	
GLOBAL:APIName		rm	  	attribute	
GLOBAL:APIVersion		rm	  	attribute	
GLOBAL:ApplicationName			  	attribute	
GLOBAL:ApplicationVersion			  	attribute	
GLOBAL:AuthorContact		m	  	attribute	
GLOBAL:Comment			 	attribute	
GLOBAL:DataType	FIR	rm	  	attribute	
GLOBAL:History			 	attribute	
GLOBAL:License	No license provided, ask the author for permission	m	  	attribute	
GLOBAL:DatabaseName		m	  	attribute	Unique name of the database to which these data belong.
GLOBAL:ListenerShortName		m		attribute	ID of the subject from the database.
GLOBAL:Organization		m	  	attribute	
GLOBAL:References				attribute	
GLOBAL:RoomType	free field	m	  	attribute	
GLOBAL:Origin				attribute	
GLOBAL:DateCreated		m	 	attribute	
GLOBAL:DateModified		m	 	attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0] 	m	IC, MC	double	
ListenerPosition:Type	cartesian	m	  	attribute	
ListenerPosition:Units	metre	m	  	attribute	
ReceiverPosition	[0 0.09 0; 0 -0.09 0]	m	RCI	double	
ReceiverPosition:Type	cartesian	m	  	attribute	
ReceiverPosition:Units	metre	m	  	attribute	
SourcePosition	[0 0 1]	m	IC, MC	double	The source position is assumed to vary around the listener.
SourcePosition:Type	spherical	m	  	attribute	
SourcePosition:Units	degree, degree, metre	m	  	attribute	
EmitterPosition	[0 0 0]	m	eCI, eCM	double	Source consists of a single Emitter only.
EmitterPosition:Type	cartesian	m	  	attribute	
EmitterPosition:Units	metre	m	  	attribute	
ListenerUp	[0 0 1]	m	IC, MC	double	
ListenerView	[1 0 0]	m	IC, MC	double	
ListenerView:Type	cartesian	m		attribute	
ListenerView:Units	metre	m		attribute	
Data.IR	[0 0]	m	mrn	double	
Data.SamplingRate	48000	m	I, M	double	Sampling rate of the samples in Data.IR and Data.Delay.
Data.SamplingRate:Units	hertz	m		attribute	Unit of the sampling rate.
Data.Delay	[0 0]	m	IR, MR	double	Additional delay of each IR (in samples, with the time interval as described by SamplingRate).
SourceUp	[0 0 1]		IC, MC	double	
SourceView	[1 0 0]		IC, MC	double	
SourceView:Type	cartesian			attribute	
SourceView:Units	metre			attribute	
Normalization	0		I	double	Index to the applied normalization method. 0: Custom or unspecified; 1: Diffuse-field equalized (Theile, 1986); 2: Directional transfer functions (Middlebrooks and Green, 1992); 3: Across-databases normalization (Bahu et al., 2025).
Normalization:Description				attribute	Narrative explanation of the normalization.
Normalization:References				attribute	References to publications describing the normalization.
Normalization:URI				attribute	URIs or DOIs to publications describing the normalization.
