Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm	  	attribute	
GLOBAL:Version	2.1	rm	 	attribute	
GLOBAL:SOFAConventions	SimpleHeadphoneIR	rm	  	attribute	Conventions for IRs with a one-to-one correspondence between emitter and receiver. The main application is to store headphone IRs recorded for each emitter and each ear.
GLOBAL:SOFAConventionsVersion	1.1	rm	  	attribute	
GLOBAL:APIName		rm	  	attribute	
GLOBAL:APIVersion		rm	  	attribute	
GLOBAL:ApplicationName			  	attribute	
GLOBAL:ApplicationVersion			  	attribute	
GLOBAL:AuthorContact		m	  	attribute	
GLOBAL:Comment			 	attribute	
GLOBAL:DataType	FIR	rm	  	attribute	We will store IRs here.
GLOBAL:History			 	attribute	
GLOBAL:License	No license provided, ask the author for permission	m	  	attribute	
GLOBAL:Organization		m	  	attribute	
GLOBAL:References				attribute	
GLOBAL:RoomType	free field	m	  	attribute	It can be free field, reverberant, shoebox or dae (see Tab. 6).
GLOBAL:Origin				attribute	
GLOBAL:DateCreated		m	 	attribute	
GLOBAL:DateModified		m	 	attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0] 	m	IC, MC	double	
ListenerPosition:Type	cartesian	m	  	attribute	
ListenerPosition:Units	metre	m	  	attribute	
ReceiverPosition	[0 0.09 0; 0 -0.09 0]	m	rCI, rCM	double	
ReceiverPosition:Type	cartesian	m	  	attribute	
ReceiverPosition:Units	metre	m	  	attribute	
SourcePosition	[0 0 0]	m	IC, MC	double	Headphones position, usually the same as ListenerPosition.
SourcePosition:Type	spherical	m	  	attribute	
SourcePosition:Units	degree, degree, metre	m	  	attribute	
EmitterPosition	[0 0.09 0; 0 -0.09 0]	m	eCI, eCM	double	The default the same as ReceiverPosition, reflecting the correspondence of each emitter to each receiver.
EmitterPosition:Type	cartesian	m	  	attribute	
EmitterPosition:Units	metre	m	  	attribute	
Data.IR	[0 0]	m	mRn	double	
Data.SamplingRate	48000	m	I, M	double	Sampling rate of the samples in Data.IR and Data.Delay.
Data.SamplingRate:Units	hertz	m		attribute	Unit of the sampling rate.
Data.Delay	[0 0]	m	IR, MR	double	Additional delay of each IR (in samples, with the time interval as described by SamplingRate).
GLOBAL:DatabaseName		m	  	attribute	Unique name of the database to which these data belong.
GLOBAL:ListenerShortName		m	  	attribute	ID of the subject from the database.
GLOBAL:ListenerDescription				attribute	Narrative description of the listener (or mannequin).
GLOBAL:SourceDescription				attribute	Narrative description of the headphones.
GLOBAL:SourceManufacturer				attribute	Name of the headphones manufacturer.
SourceManufacturers	{''}		MS	string	Optional M-dependent version of the attribute SourceManufucturer.
GLOBAL:SourceModel				attribute	Name of the headphone model. Must uniquely describe the headphones of the manufacturer.
SourceModels	{''}		MS	string	Optional M-dependent version of the attribute SourceModel.
GLOBAL:SourceURI				attribute	URI of the headphone specifications.
SourceURIs	{''}		MS	string	Optional M-dependent version of the attribute SourceURI.
GLOBAL:ReceiverDescription		m		attribute	Narrative description of the microphones.
ReceiverDescriptions	{''}		MS	string	M-dependent version of the attribute ReceiverDescription.
GLOBAL:EmitterDescription		m		attribute	Narrative description of the headphone drivers.
EmitterDescriptions	{''}		MS	string	E-dependent version of the attribute EmitterDescription.
MeasurementDate	0		M	double	Optional M-dependent date and time of the measurement.
